title,date,source,content,link
Pentagon’s chief technology office gets three new leadership slots - C4ISRNET,2023-07-25 07:00:00,C4ISRNET,Pentagons chief technology office gets three new leadership slotsnbspnbspC4ISRNET,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPV1QxdlJWZzMtakxEMkhtbUxvY3dEUTJQb0otN2puMVBHMUdWSkQtWWczZnMzZEZNN2FmZWxPdjNVVFZKWnV5bFR4TUNROWl2S1NnRjNTU2dtNW90WlZLNTFwUkoxemNJNGlWYVJ0bTJVR1dQVV9lY2pCV04wYnZKNnV4WlZQcndKNkNWSTBtdGFOd1lweElrSnBkTnVGdEV6TldERk1wT3hjVWg3Y0VHa2hHbmxES3Q5NXZJ?oc=5
What’s on the CEO’s tech agenda? - McKinsey,2023-07-26 07:00:00,McKinsey,Whats on the CEOs tech agendanbspnbspMcKinsey,https://news.google.com/rss/articles/CBMivAFBVV95cUxOSVVqR255MEgzN2tLZDNKblVmYk00cUhzbXZYS1M5d2xrSzdldGJrX0RmM3c1X0Y0b3ZkdmM2Mk1rQUVsaEU2Zl9TcGw1Y3o2WUt6dXBsS1J0TVVaV1ZvWUN0RHlNTTNyYk1GMEJMaFl0Y2hJQTh4QTV6QmxEY0JEdGhmUmloMU5BbktMcGNJT0xoaVZWalhuZnhTRTk1a0g3OWRaV0NNZmx3ZGZzWkk0TXZaSzFOWlJpb0JRTw?oc=5
5 challenges with technology in the classroom and how to overcome them - Insights by Samsung,2023-07-24 07:00:00,Insights by Samsung,5 challenges with technology in the classroom and how to overcome themnbspnbspInsights by Samsung,https://news.google.com/rss/articles/CBMiswFBVV95cUxPenA5YU9mY1JEWWUwQlRuOXRvZUoycWNLV0R1S3N5Q1pzaFYwbW1UcDE2eXFhS1U4Z0ZzaFFwX1M4cG81YV9WRHcyXzV0dHQ1eVZ3cHlBX3JrOWtoV3BnNXVNLVRCZTVWTDE2dDRDR0NQSDhkUHFRNVcxV2V2cVRpeGdLR3I1bEhfZFNjUXR2T05nSnNPbW5RUmJIcEh6Vlo2V1hudmQzRGdhV2tPdWE1UXJxRQ?oc=5
Senior-Friendly Technology: A Growing Demand - CMSWire,2023-07-24 07:00:00,CMSWire,SeniorFriendly Technology A Growing DemandnbspnbspCMSWire,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOajN4VzdYajhaUERwdk5oWDg0b0JldDB2U1lHVGZic1hvbWlhTFdudjk1VXVScVBmcDFkWk1LTlhsUlZqWVV4T1V4bG9pa2NvNWVNSkllM1BGa0lIOXhURUVKcUxKeVhJZmgzc21RdUVuSzhDOWdLOHliNU1kbkg5ejdTNks5MTVsUlNQQ3RGdUI1YnBHSVNmOHV6bHlxVFdKY0E2S3lTb0c?oc=5
"Digital technology in government: Over-promised and under-delivered, says study - Phys.org",2023-07-25 07:00:00,Phys.org,"Digital technology in government Overpromised and underdelivered, says studynbspnbspPhys.org",https://news.google.com/rss/articles/CBMiiwFBVV95cUxOb3pWVEpvZDBobVg4RWVFSDdQTldNWktMM1lXWk1ZZ0FYbzFRZEczM21uU0kwM0NkRnl1WFVoVHFPWE1ETElGUC1jS1RYaEQtNWJOMktJMkZLY3pSbWM4NnhJTy14Vkdjd3Z5V3RsWmctaDAwMUFydWUzU2pYSHE1di1na2Z2cjNVN3Nj0gGKAUFVX3lxTE5USHcwZGJnZGpFVnpKdG0wZGVrWWk3dHpYVTNhSlhSSllaLXV5RzVoZ2NFajd2d2E5aGU1M3k5dWs5Vjk2UUpMUk5hMHk2WlBTNUV6ZlVkM0dfVHB5UTVHVTlQc3RfeS1wRmg3d2tDU0dmVkd6WGpfZW1QTEhFOVZyNVFnZjR3cUxzUQ?oc=5
UNESCO issues urgent call for appropriate use of technology in education | Global Education Monitoring Report - UNESCO,2023-07-26 07:00:00,UNESCO,UNESCO issues urgent call for appropriate use of technology in education Global Education Monitoring ReportnbspnbspUNESCO,https://news.google.com/rss/articles/CBMirAFBVV95cUxPX3BlcUg3Y1F0c2pSbWtqVk11T2VmaEFGN01ZOHhXbjVTNklaalNXNXV2YUgwLXJKbUNNdlRYR1ZLdmUwNDZiT25CaHBOS1RMNDNvSWU1ZkJYbHd1YUVjZUJTWm5yR0pRV214bHk2QWxqZkNqbnRoaTJOUk83U0FESzRYTk91aTNiYTlrYVB0enREeFMxMkFCMnJEN1g3SDlMX0hlcFRLczFZRXh0?oc=5
Generative AI is empowering the digital workforce - MIT Technology Review,2023-07-25 07:00:00,MIT Technology Review,Generative AI is empowering the digital workforcenbspnbspMIT Technology Review,https://news.google.com/rss/articles/CBMipAFBVV95cUxQZmRHTzI4bzNRVDMtVlpkdm9iRkNhcGZxSTRJZ3dmSTBFcVZEd0tFYThxenpWWDR0dGo5UERzT1Nxd09YM043ZnMzb3VOTmRrajdyQVk4YzIzTXNibVRlX0tFVGlQVjdocG9FY3pYT1RmZHhkR0MzdmRHaFdkSXJfM21tSFNxeHlZVF9udnpDQ1VGa2JxUEgyRUt1QTAyM00wWHQ5dtIBqgFBVV95cUxOUUxDREM2SHFQZzZaVDdpMGJZajBjUHJmbFRUTTgwQlZGNTlOR0FiZUJQUi1EVnZkN3d5UjRWNU1fOUVtOUZxb0hRbjlvTlVmTzVzTDV1amtTc19VUFVCNGVtQ04wRzBpWnE0Rkg3eURUaGdBX3Q2UnQyNzU1c1RibTR2RWlFbFg0M05SU1ZYWGlQTHAxb1hHbVA0djlOeFoxeDd2WjNRdTlPZw?oc=5
Six ways that AI could change politics - MIT Technology Review,2023-07-28 07:00:00,MIT Technology Review,Six ways that AI could change politicsnbspnbspMIT Technology Review,https://news.google.com/rss/articles/CBMilgFBVV95cUxQV0ZTRkhDcXprdDlYM3NRQXhZR05vTlRPNW9Sd0V5T0xQYXRON291TmpXRUxfUlRJakVMajdEbndKTTBDakM1LWJMWGdhbF8zZ0R0RzdJb3E1U0Y1Zy1vQXJ4X1lwQzhFbjZweFljWGFXZGRMYkltWkUyT2pkLXlrSWU3aXdsa3FnaUI2WlRIRFpPcWRKWXfSAZsBQVVfeXFMUGVOMkV1b21DMU9hdEpqTzQ4SnlSekdwbDlKdERYRmlMNllyMmRYVGkxNFNPVXdzUFZPRGFhd01uOW42V0JIaEkwZ041bU5TQkZzQkZVOUxxUDVrSmZyeWN6ZUNYWHRzVEo5VzVGa1dOYWFQaE1BY3hycEdlQWt2ZGk0TjFOTmF1MG9nVDhlMGhFb2pvYS1BTGpHLWs?oc=5
"UConn, Connecticut Center for Advanced Technology Sign Collaboration Memorandum - University of Connecticut",2023-07-27 07:00:00,University of Connecticut,"UConn, Connecticut Center for Advanced Technology Sign Collaboration MemorandumnbspnbspUniversity of Connecticut",https://news.google.com/rss/articles/CBMisAFBVV95cUxQalJNcVpLWERCbEx1Q1NZa0d6T2M1M0FUQkp5S1dwM0RSVDdPR041SGRGQkRPS2EwZDk5UDJuRE1XcWJwTllzbTlkbndTREtWSmlOZElTVUlVY1ZvR09xbzhsUy1vaFVETnhfcXZUNHRIWHQ5MmU0NHh5ZWlxcTlleFlyeFBYbGVicVdwbkZ6b2w2cGd6Nmg2a3VPblVFazBPdkNVREI2Y0hibG5jUFZzNA?oc=5
Autonomous Landing Hazard Avoidance Technology (ALHAT) - NASA,2023-07-26 07:00:00,NASA,Autonomous Landing Hazard Avoidance Technology ALHATnbspnbspNASA,https://news.google.com/rss/articles/CBMihAFBVV95cUxOaFJkTWY2MVRnT1lZTVJ5R0tERGxTMVJtRlFweEktLUN1dF9PMnNyRm5jWXR2NnJXSmtVTWtxXzJnRGtUZlZnMHJQdGgtcXFTWFhud1hyb2FzN0lWWlo2QVpmT2t5c3BzYTJlV1QyUnNSR2VYbmM4eS1ZaXBKYnlYZ1VOM2Q?oc=5
"Sphere Entertainment Unveils The Most Advanced Concert-Grade Audio System In The World: Sphere Immersive Sound, Powered By HOLOPLOT - sphereentertainmentco.com",2023-07-24 07:00:00,sphereentertainmentco.com,"Sphere Entertainment Unveils The Most Advanced ConcertGrade Audio System In The World Sphere Immersive Sound, Powered By HOLOPLOTnbspnbspsphereentertainmentco.com",https://news.google.com/rss/articles/CBMi_AFBVV95cUxQMzIwUE95OXhBVnMwazFmVldGU0cycUdnVXh6VWw5YWplUlBzVnN6Z0k3TVZ5RzlwTl96YUFKaGdXMnBHV0ZtSUs1VnpiTUhveVFSSDYxMEF1OWNyNGJLTnR5WWlKNnV6ZXdzdlltQVdqUlkyeGRrRmRMbnNwUV9CclZydkxidFZfN0hzQWRFRy1EQURQOEd0SXdlVi05VVhZSFZfeTkxN0VXN3dmR0RxR3o5OUNVOUdPeEtxdTg2THBvU3JQYzZyTlJlSWJuS3R3UkU1RnE5NWVFZWR2YVliOFFJVnREYVZub0ttbkNoV3dTODloV1hUWjRlS0E?oc=5
Reviving Radio: An Old Technology Remains Relevant - YES! Magazine,2023-07-24 07:00:00,YES! Magazine,Reviving Radio An Old Technology Remains RelevantnbspnbspYES Magazine,https://news.google.com/rss/articles/CBMikwFBVV95cUxNSVJ4allfcUt5MXpVY2E4ZVBPd05SNzFWNGh3Ulo1SHUteHBYeTZEZFhldFhTbFN5VGw2OGVNWGhESC1lZDljMmY0MWdqWGdlX2tpcVp5TVJpTUh2UkJYNGgweW5WbGxNcHFkZUgzc25UcnBnMmZpYTM1Q19uV0E5emJqOXRWU3JnVkNYLUVEd1dVd0k?oc=5
Yield Engineering Systems opens new advanced technology center in Arizona to support semiconductor growth in the U.S. - chandleraz.gov,2023-07-27 07:00:00,chandleraz.gov,Yield Engineering Systems opens new advanced technology center in Arizona to support semiconductor growth in the U.S.nbspnbspchandleraz.gov,https://news.google.com/rss/articles/CBMiuAFBVV95cUxObHRYalVSV2t3bTJqbDRNOHFfSXNlWlo3akY5MVpFWFAyWE9YOXd1UXBmMVVhWHlYOUpRYUVaZVFhdnZnMElhX1J0cmxWbEthT0k0QmdqbDFnQnlBRXZsNFBaSzZYVzl6eklvdko3cmFZaTBkYWJnd29qY3M2dnNrR1FJa21qN282Q01nYl9HZHI4bExxMTBEWnZoaFh1dGxkSUoteDJfWHNjamEyX0JydDY1RG9uM1Ex?oc=5
Way Cool: UVA Professor Developing ‘Freeze Ray’ Technology for the Air Force - UVA Today,2023-07-28 07:00:00,UVA Today,Way Cool UVA Professor Developing Freeze Ray Technology for the Air ForcenbspnbspUVA Today,https://news.google.com/rss/articles/CBMioAFBVV95cUxNWjE2TEJMZ0Zqel9rREd6MHJweUlXUFpwYndyM1BnS282RVhYT3k5NW1ibTQycmsxcnlXTWlhMEhsck4wc2t5NzdHeU0wb3hMN0U3dzUxWVRnODA2dllkSGJXanhGdFdrVzMzdTY2QmY3dWdxYW5zcjdOR2VOOVVDMS1MWG0tT1NEVHM3Y3F3M0ZPX2l1RVNWRDllNXlBYlFZ?oc=5
What’s next for the moon - MIT Technology Review,2023-07-24 07:00:00,MIT Technology Review,Whats next for the moonnbspnbspMIT Technology Review,https://news.google.com/rss/articles/CBMiggFBVV95cUxQRVRoMk5DSnVzbEhPN2RoUm42U1huZ2R5UjhtbHZQNnZ0MERELWxZRms5bkFuMFhaYS1rbXZCVFlvYk45VjVIYmFPclpjbDROZ0NxWHpoWjZiR1lUOVNIZHB3RkRDZUVZVk1WSHJoaTRiMUxpNTNfakJza3lxdTg4b29n0gGHAUFVX3lxTE44UUpNQ1JfOHE4Ny1ORHdkSFBYVDBacmxXTkhFb2tycWRzQV9ZYnNYOHFUNVdQdm5YRldFdVBqOFQ4cTFaU2x0dGJUS3pkeHYybmpzSVdMUVZvNVZhT3RGaEhSNVFVZnFyZDg2QXFnek9ZMGg4UHV3Sk1TSHhEMWMtb0FROXJySQ?oc=5
"Advances in exoskeleton technology improve productivity, safety - TheFabricator.com",2023-07-26 07:00:00,TheFabricator.com,"Advances in exoskeleton technology improve productivity, safetynbspnbspTheFabricator.com",https://news.google.com/rss/articles/CBMivgFBVV95cUxOM1BKUVBNaEYzYTdNc1hNc0pYNG1tZ3BZZ01YeGw2aTRfNFBQaVRScXZRVlJaMmM5XzlNcUhHSFVwV0RCQ0lTRXlxMWxNTHhDWmdHY3VIdjg3T1EtbFlta2ZNQV9Qalo5Umt0cDB5eTlkYXZnTFVsWjRDLW5OMkl6N2pTMUw3TFY4bkE5RUJ2UnhDc21FcWh2Rk84Qk82cGRPcHdaM2JUNHFpN012UkNseWEwbVZVMjhPVlN6bkJn?oc=5
"Science Committee Passes Six Bipartisan Bills - House Committee on Science, Space and Technology",2023-07-27 07:00:00,"House Committee on Science, Space and Technology","Science Committee Passes Six Bipartisan BillsnbspnbspHouse Committee on Science, Space and Technology",https://news.google.com/rss/articles/CBMihAFBVV95cUxNVEVDTWtBREt5V2RkNDdfQ2FLdkl4MmE4WlRBNmFYMDFQajRoQ2hPVE5pTEQ5RW5XUVItcDN2dV9Qb2ZCcVRjZGNRRzZGTVpUcXJqNklnSXZOYjhVMklDcVFHakhxRDBwa2F5eC0yNURvX2ZXQ0JmbV84TElwLWZib0ZDNjY?oc=5
How Tuvalu is using technology to adapt to rising sea levels - World Economic Forum,2023-07-25 07:00:00,World Economic Forum,How Tuvalu is using technology to adapt to rising sea levelsnbspnbspWorld Economic Forum,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOMkgzNjVkTThPUjMtT2tycEtMMlBJZ015ek5sMHZmZFhEZWxxVldtcENrZ0JOZmhDXzF1NHZwdEZ0ZmlQZXJFY2ZWdWFlVEJublcyTHJnajNsZjN5YTdoN1hWekd6Q3Vodmlhb3Yza0d0WFpVRmxvaEVCX3owbl90SHVVZHB0MFd4bGpR?oc=5
Digital Equity Isn’t Just About Devices and Internet Access - Education Week,2023-07-24 07:00:00,Education Week,Digital Equity Isnt Just About Devices and Internet AccessnbspnbspEducation Week,https://news.google.com/rss/articles/CBMiogFBVV95cUxPN3JpNXpYaWlYNjM0ZDJWbTlKRUcwWU05bENRTEIweDdNTDNodm1NMmFyNGd3RXU3OGxMYUp6a3ZCb3dwTC04QVhITlJtaWQwRnJqNTY2aGdHeUxEWXpmci1ITVdvM2k0U0xnMEFrYl9yd0EtTUEzbEZUSTBuOWFpQzdzNmtqMlBhRW9DQXVtQ2lMVTlMbnlpWmV1RERDOUZhUnc?oc=5
Autonomous Now: Why We Need Self-Driving Technology and How We Can Get It Faster - Manhattan Institute,2023-07-27 07:00:00,Manhattan Institute,Autonomous Now Why We Need SelfDriving Technology and How We Can Get It FasternbspnbspManhattan Institute,https://news.google.com/rss/articles/CBMiogFBVV95cUxOcV9IYmhqeThFMHplZmk2dEc1Nk9FbEYtSVB6ZDJQRGplUUdsbEVCMXAyalFsM0xHMTg5MTJXd2NnYVNRN2FrbjFZNEE3eXo1M2dFejJrTmFab1lJUTQweGdxTENjbXR3enFyMnhEOW11Y3BDT0RHXzJlQWpLUnozU2g0eXhZQTBmLWNDM1NKckE0aWNNZ1BmS3RXWHV6Ri1UM0E?oc=5
Digital technology in medical visits: a critical review of its impact on doctor-patient communication - Frontiers,2023-07-27 07:00:00,Frontiers,Digital technology in medical visits a critical review of its impact on doctorpatient communicationnbspnbspFrontiers,https://news.google.com/rss/articles/CBMikgFBVV95cUxONVlCTG5sNmVuc000el9SZUFoSXVwZHVsNFRTNTBMWmVHd0lvWmhmbXJfcF92eWs1bVRnM2lXSUE1clk0RklVcWVOOTZyVXk2OHk3MUszVHFHanVyR2pUTDkzczkwd1p6VTNNSnBicEY5WWhUQjRUcGdUZV9LUnFKUjBhWnhRby1hYTNiZjkwWHBBdw?oc=5
Novel technology may lead to improved citrus varieties - AgriLife Today,2023-07-26 07:00:00,AgriLife Today,Novel technology may lead to improved citrus varietiesnbspnbspAgriLife Today,https://news.google.com/rss/articles/CBMingFBVV95cUxOQ2cyNmZRbFZoLVA5ZWVDcnBuaVJ2djNYTDlGWkd4M1JiaUdmX0cxSmNNa1pyVmI4NTkxU1htWkxJM2g2cm9XdEZyR091VlhDLXhraHF1NENVWXoyMHh5TEJzWHRVeHhKOXFXczVlYXhOTHJNRlB5bUpQZ0JCLUoxdkRjcHNoeGliUzBSdENGMkpuMjlhTm1xcVZtNTlMQQ?oc=5
Protecting Ohio Farmland and Technology from China - Senator Sherrod Brown,2023-07-28 07:00:00,Senator Sherrod Brown,Protecting Ohio Farmland and Technology from ChinanbspnbspSenator Sherrod Brown,https://news.google.com/rss/articles/CBMirwFBVV95cUxOWXVCVWRyZWxWUkZMX1NHZC15dm5Cc1o0bkkwcEdZa3A3NE9xaDNlR1N3YVRTd2loeUp3TkllVno5MzZvZU4yZ0xFaXZMZEJ1RFRrdlV6YmlDbVNhWnZYM2NRZGoyUlJfTjJDZ0NKWTBYekVvY1hBMjRMMnFjQ3dIVU5rOEdDVndwNnVnU3NiQ2I5RkNUZ2VMTzJqYjBLTTgzLW0yZkFvUERJazZnWm5v?oc=5
Three ways a technological revolution will impact the intel community - Defense News,2023-07-26 07:00:00,Defense News,Three ways a technological revolution will impact the intel communitynbspnbspDefense News,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQYzhfSi1RVGZ6QS1TZHRFdGhESWFRZXpTaGxFYU0wRUNuQ1IxMXIxRGwzcU96S1plbGNzbHZxVjZNMnVxOFJKRTRpbVpBcFI3QVVXN0M2bU1kSnJfbFA2Tkgxc3hkQi1ManZGTVpyVXBCX2VvdTFGSXVUUU1Wbk9pV0xydjI4VXh1ci1JZHFSU2RaVlJwUWQ3U0NRbFF6Tm1seU53a1djREhWcm5vMWdzaEVPLVN5akFS?oc=5
Why is technology not making us more productive? - BBC.com,2023-07-23 07:00:00,BBC.com,Why is technology not making us more productivenbspnbspBBC.com,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5XNWtJRDZpaFZmYWxlS0IyYlAwWVVlcEZyazY4ck9tTC1TdjhOa1dXR3NmUTJqdTR0VHloWTRjcFlNRXNtRkFjOTlwMnhGMmhtVFNqbtIBWkFVX3lxTE8zT2tJMnVYZFJvbEFyS1lNd3IzbU1zWk42cHgyTkpWbU55cXRrTmNtTEk2ZkEyVnlGa0NscmtsVXZfRFBxU3JJcmdXVzlzOVVPU0g5NWkxLTdPQQ?oc=5
Special Envoy Jacinda Ardern Assembles Stanford Scholars for Discussion on Technology Governance and Regulation - Stanford University,2023-07-25 07:00:00,Stanford University,Special Envoy Jacinda Ardern Assembles Stanford Scholars for Discussion on Technology Governance and RegulationnbspnbspStanford University,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPVk5lelk0SGdrc21Fb2NZakxibHRNM0oxRUNJR1dyUGR2c2RudGtrTWJYZmhMYkJrcXdSY2VpeXpWb2pjNWc1eGNFc2N5ZVVnZWRpVDR3djJFTVRLa21JdUpOTDFmN1dHM0lEZGludnNnLWxvaVJxSDNCdlFtOEJfWlFXak0wcFl6TFBIRXcwcXYtdWNkdmpZUHI1b2JjQ1picC1wVnVNYlBQMjVDSVFVZlk1eUJ4a3hZQVJQbUlVVHFJaDM1cVBMVQ?oc=5
These moisture-sucking materials could transform air conditioning - MIT Technology Review,2023-07-26 07:00:00,MIT Technology Review,These moisturesucking materials could transform air conditioningnbspnbspMIT Technology Review,https://news.google.com/rss/articles/CBMihgFBVV95cUxObUVRZDhERjVnbWljYkpRQkZhRGtEZ3lSMkw3MHlndE1WWlJuaDJETDlTbmFwc2lzRG9PRFR4b2JCcHZxb2lmMC1XbXNJY21nM184SlZBOGxRT0ttR2F0VUI2R1JqYmFEeElfemtSV3A4RmFUanhmeWY1SklvQ1ZXb3RuUzRWZ9IBiwFBVV95cUxPQ2N4OFBxMHJNNXUwaFNXRGFkdEs4ZmdDUW11QXpPYzJwWlF0Y1Noa0FqWFY4eUpMY0pkUlRkaVFyMXE1SExXMUZtWEEtTDJac3dZbzBJNFVzdG5WYk5sbG81NzBkRXViaXlXNlU5NElZZThjU3hON3dfUnlPTjRFS2pGWmNwajhPNERB?oc=5
FBI Warns About China Theft of US AI Technology - Voice of America,2023-07-28 07:00:00,Voice of America,FBI Warns About China Theft of US AI TechnologynbspnbspVoice of America,https://news.google.com/rss/articles/CBMijwFBVV95cUxOTkRTb1NFZW1LcU9VR293cmRJVHIwNFp3QVNZOXZxYlBpbk9nUTEzdTNXX2l2WmJVSnhXR2g4MENIcVlNRDB6cmoxQ1RmZXhpUzV0MEhLSkV0TTBuQk9YaUFtcC12U1VqbUVNZTg0TV91LTRMY3hPQ3I5NjBRMWZwQWV1Y015LTlrM2pyNUNxNNIBkgFBVV95cUxQenVrYnlUQXNsWnZzbXo4dXBpaDVHaER2cThvRnpfOFlZajVNT1I1NzVYY0xPaFB2NjdwUFhrNE1EZXBqbG1GOU44Y0NzRnNBZThCWnhTX2xBX0V3MEhLaUUtS3EzYmpERTdJQWQxdTJYeEFOMkVITzE2ZE8tdEJRTVhzZ2FDQ1JTOTgtT3l1TUc1QQ?oc=5
